,mV
0,
1,1887
2,1903
3,1923
4,1947
5,1965
6,1968
7,1966
8,1957
9,1938
10,1920
11,1904
12,1885
13,1867
14,1856
15,1858
16,1863
17,1875
18,1883
19,1894
20,1917
21,1936
22,1959
23,1971
24,1983
25,1986
26,1990
27,1984
28,1971
29,1951
30,1921
31,1901
32,1883
33,1870
34,1859
35,1858
36,1872
37,1892
38,1920
39,1933
40,1941
41,1938
42,1942
43,1936
44,1936
45,1920
46,1905
47,1895
48,1893
49,1895
50,1904
51,1920
52,1935
53,1950
54,1966
55,1974
56,1984
57,1984
58,1993
59,1991
60,1984
61,1975
62,1952
63,1931
64,1915
65,1909
66,1904
67,1911
68,1915
69,1918
70,1933
71,1952
72,1969
73,1985
74,1992
75,1989
76,1989
77,1979
78,1968
79,1954
80,1942
81,1938
82,1940
83,1948
84,1953
85,1964
86,1974
87,1994
88,2015
89,2029
90,2033
91,2033
92,2032
93,2019
94,2003
95,1984
96,1975
97,1971
98,1973
99,1982
100,1991
101,2005
102,2021
103,2039
104,2064
105,2085
106,2083
107,2084
108,2086
109,2081
110,2075
111,2063
112,2035
113,2019
114,2010
115,2017
116,2027
117,2038
118,2047
119,2063
120,2074
121,2092
122,2100
123,2105
124,2099
125,2102
126,2096
127,2079
128,2063
129,2037
130,2031
131,2027
132,2032
133,2039
134,2055
135,2078
136,2097
137,2125
138,2149
139,2160
140,2164
141,2160
142,2158
143,2147
144,2134
145,2118
146,2103
147,2095
148,2094
149,2095
150,2096
151,2107
152,2117
153,2127
154,2139
155,2159
156,2175
157,2183
158,2190
159,2187
160,2178
161,2166
162,2144
163,2123
164,2109
165,2096
166,2090
167,2094
168,2096
169,2106
170,2126
171,2143
172,2151
173,2151
174,2149
175,2145
176,2133
177,2128
178,2123
179,2111
180,2105
181,2107
182,2115
183,2127
184,2142
185,2147
186,2159
187,2176
188,2193
189,2195
190,2190
191,2185
192,2167
193,2155
194,2141
195,2128
196,2107
197,2093
198,2086
199,2074
200,2084
201,2085
202,2097
203,2114
204,2135
205,2157
206,2163
207,2160
208,2154
209,2131
210,2112
211,2081
212,2053
213,2019
214,2000
215,1985
216,1978
217,1979
218,1979
219,1985
220,1999
221,2009
222,2017
223,2011
224,2001
225,1991
226,1984
227,1974
228,1958
229,1937
230,1919
231,1910
232,1899
233,1892
234,1887
235,1883
236,1883
237,1893
238,1902
239,1904
240,1901
241,1893
242,1888
243,1873
244,1858
245,1831
246,1808
247,1791
248,1783
249,1790
250,1801
251,1809
252,1819
253,1839
254,1855
255,1863
256,1860
257,1854
258,1837
259,1814
260,1793
261,1774
262,1744
263,1737
264,1734
265,1735
266,1744
267,1750
268,1761
269,1773
270,1777
271,1794
272,1795
273,1799
274,1795
275,1781
276,1776
277,1762
278,1749
279,1744
280,1747
281,1757
282,1772
283,1788
284,1808
285,1826
286,1838
287,1856
288,1861
289,1859
290,1856
291,1845
292,1838
293,1820
294,1809
295,1799
296,1790
297,1785
298,1782
299,1790
300,1797
301,1805
302,1817
303,1835
304,1843
305,1853
306,1853
307,1853
308,1845
309,1835
310,1831
311,1821
312,1811
313,1810
314,1812
315,1819
316,1835
317,1843
318,1862
319,1871
320,1885
321,1899
322,1902
323,1895
324,1888
325,1887
326,1879
327,1872
328,1862
329,1842
330,1832
331,1831
332,1831
333,1836
334,1841
335,1857
336,1868
337,1883
338,1902
339,1905
340,1905
341,1904
342,1901
343,1903
344,1895
345,1887
346,1874
347,1871
348,1866
349,1867
350,1863
351,1871
352,1872
353,1888
354,1904
355,1915
356,1918
357,1916
358,1913
359,1904
360,1885
361,1871
362,1847
363,1830
364,1819
365,1819
366,1821
367,1828
368,1839
369,1853
370,1874
371,1902
372,1917
373,1923
374,1932
375,1927
376,1919
377,1906
378,1888
379,1869
380,1842
381,1839
382,1835
383,1839
384,1843
385,1851
386,1851
387,1863
388,1872
389,1883
390,1898
391,1907
392,1918
393,1920
394,1911
395,1901
396,1885
397,1872
398,1861
399,1851
400,1845
401,1843
402,1840
403,1855
404,1869
405,1877
406,1874
407,1874
408,1872
409,1856
410,1844
411,1833
412,1811
413,1801
414,1794
415,1794
416,1802
417,1812
418,1829
419,1841
420,1866
421,1887
422,1904
423,1911
424,1907
425,1902
426,1888
427,1872
428,1851
429,1827
430,1815
431,1803
432,1804
433,1805
434,1814
435,1821
436,1838
437,1858
438,1872
439,1878
440,1878
441,1871
442,1867
443,1853
444,1837
445,1823
446,1801
447,1783
448,1779
449,1776
450,1777
451,1785
452,1805
453,1827
454,1851
455,1862
456,1863
457,1862
458,1851
459,1840
460,1821
461,1806
462,1777
463,1757
464,1751
465,1757
466,1763
467,1776
468,1795
469,1808
470,1827
471,1840
472,1845
473,1849
474,1845
475,1842
476,1839
477,1831
478,1818
479,1810
480,1806
481,1808
482,1811
483,1817
484,1820
485,1822
486,1822
487,1839
488,1849
489,1857
490,1856
491,1856
492,1853
493,1851
494,1840
495,1823
496,1810
497,1802
498,1803
499,1807
500,1808
501,1813
502,1823
503,1839
504,1849
505,1857
506,1868
507,1869
508,1869
509,1872
510,1871
511,1857
512,1847
513,1834
514,1811
515,1803
516,1801
517,1806
518,1808
519,1816
520,1833
521,1847
522,1860
523,1866
524,1867
525,1857
526,1845
527,1833
528,1812
529,1804
530,1798
531,1791
532,1795
533,1794
534,1800
535,1811
536,1831
537,1855
538,1877
539,1888
540,1893
541,1887
542,1877
543,1872
544,1857
545,1840
546,1819
547,1809
548,1808
549,1813
550,1838
551,1862
552,1899
553,1935
554,1979
555,2009
556,2022
557,2027
558,2032
559,2023
560,2009
561,1997
562,1982
563,1963
564,1953
565,1941
566,1943
567,1938
568,1941
569,1941
570,1951
571,1959
572,1968
573,1975
574,1983
575,1995
576,2000
577,2006
578,1998
579,1985
580,1978
581,1973
582,1968
583,1968
584,1962
585,1808
586,1796
587,1792
588,1789
589,1791
590,1787
591,1796
592,1811
593,1825
594,1838
595,1841
596,1841
597,1834
598,1823
599,1817
600,1802
601,1781
602,1773
603,1767
604,1772
605,1779
606,1786
607,1792
608,1808
609,1825
610,1840
611,1850
612,1853
613,1847
614,1842
615,1840
616,1821
617,1806
618,1787
619,1779
620,1777
621,1783
622,1799
623,1808
624,1824
625,1849
626,1872
627,1887
628,1891
629,1882
630,1865
631,1843
632,1821
633,1799
634,1782
635,1772
636,1765
637,1770
638,1783
639,1794
640,1809
641,1830
642,1850
643,1865
644,1871
645,1875
646,1872
647,1871
648,1862
649,1850
650,1838
651,1817
652,1803
653,1793
654,1799
655,1808
656,1821
657,1840
658,1857
659,1885
660,1904
661,1917
662,1919
663,1915
664,1904
665,1890
666,1871
667,1845
668,1823
669,1814
670,1822
671,1840
672,1855
673,1881
674,1902
675,1919
676,1933
677,1933
678,1927
679,1915
680,1906
681,1890
682,1879
683,1863
684,1851
685,1844
686,1845
687,1843
688,1845
689,1855
690,1861
691,3452
692,3562
693,3685
694,3811
695,3927
696,4029
697,4049
698,4040
699,3955
700,3811
701,3618
702,3399
703,3163
704,2915
705,2666
706,2414
707,2176
708,1954
709,1747
710,1567
711,1408
712,1281
713,1182
714,1109
715,1070
716,1043
717,1039
718,1056
719,1093
720,1136
721,1198
722,1264
723,1346
724,1424
725,1499
726,1574
727,1642
728,1698
729,1746
730,1779
731,1804
732,1810
733,1815
734,1821
735,1818
736,1808
737,1797
738,1802
739,1809
740,1820
741,1837
742,1855
743,1873
744,1904
745,1923
746,1936
747,1941
748,1941
749,1936
750,1932
751,1923
752,1910
753,1894
754,1874
755,1858
756,1853
757,1852
758,1856
759,1870
760,1893
761,1927
762,1948
763,1967
764,1978
765,1969
766,1959
767,1936
768,1912
769,1877
770,1847
771,1830
772,1825
773,1826
774,1841
775,1855
776,1875
777,1902
778,1922
779,1939
780,1950
781,1957
782,1953
783,1947
784,1939
785,1927
786,1914
787,1895
788,1890
789,1891
790,1899
791,1909
792,1930
793,1946
794,1968
795,1995
796,2009
797,2016
798,2015
799,2004
800,1997
801,1991
802,1969
803,1943
804,1925
805,1910
806,1905
807,1906
808,1918
809,1931
810,1951
811,1968
812,1983
813,1987
814,1984
815,1979
816,1968
817,1951
818,1937
819,1920
820,1901
821,1884
822,1887
823,1889
824,1901
825,1915
826,1933
827,1955
828,1983
829,2015
830,2032
831,2041
832,2039
833,2032
834,2022
835,2002
836,1984
837,1968
838,1961
839,1958
840,1967
841,1971
842,1977
843,1990
844,2005
845,2021
846,2038
847,2054
848,2055
849,2057
850,2060
851,2058
852,2057
853,2046
854,2035
855,2032
856,2038
857,2038
858,2043
859,2045
860,2063
861,2075
862,2089
863,2091
864,2098
865,2107
866,2105
867,2099
868,2089
869,2065
870,2040
871,2029
872,2017
873,2018
874,2025
875,2027
876,2031
877,2041
878,2064
879,2071
880,2085
881,2089
882,2094
883,2091
884,2090
885,2081
886,2065
887,2061
888,2054
889,2062
890,2065
891,2071
892,2081
893,2092
894,2107
895,2128
896,2155
897,2173
898,2187
899,2178
900,2166
901,2144
902,2126
903,2097
904,2077
905,2066
906,2064
907,2064
908,2077
909,2087
910,2097
911,2117
912,2137
913,2149
