,mV
0,
1,1894
2,1904
3,1920
4,1935
5,1959
6,1978
7,2000
8,2027
9,2039
10,2045
11,2036
12,2021
13,1999
14,1981
15,1965
16,1937
17,1929
18,1922
19,1934
20,1949
21,1968
22,1987
23,2004
24,2027
25,2047
26,2062
27,2065
28,2070
29,2068
30,2061
31,2042
32,2022
33,2001
34,1984
35,1978
36,1969
37,1969
38,1971
39,1968
40,1973
41,1981
42,1971
43,1968
44,1955
45,1936
46,1921
47,1905
48,1891
49,1878
50,1869
51,1862
52,1865
53,1872
54,1884
55,1902
56,1911
57,1936
58,1947
59,1959
60,1963
61,1947
62,1937
63,1924
64,1904
65,1876
66,1853
67,1838
68,1827
69,1828
70,1837
71,1840
72,1853
73,1862
74,1877
75,1887
76,1892
77,1887
78,1879
79,1869
80,1857
81,1842
82,1823
83,1807
84,1793
85,1794
86,1792
87,1802
88,1808
89,1820
90,1835
91,1851
92,1862
93,1873
94,1877
95,1878
96,1872
97,1872
98,1863
99,1854
100,1844
101,1840
102,1845
103,1856
104,1870
105,1877
106,1890
107,1904
108,1920
109,1923
110,1920
111,1919
112,1904
113,1894
114,1882
115,1866
116,1851
117,1840
118,1832
119,1833
120,1838
121,1846
122,1853
123,1869
124,1886
125,1905
126,1913
127,1913
128,1911
129,1904
130,1901
131,1897
132,1881
133,1873
134,1869
135,1871
136,1872
137,1881
138,1890
139,1904
140,1921
141,1936
142,1947
143,1949
144,1952
145,1947
146,1937
147,1926
148,1917
149,1904
150,1887
151,1879
152,1872
153,1873
154,1877
155,1887
156,1898
157,1909
158,1920
159,1925
160,1923
161,1920
162,1919
163,1914
164,1914
165,1910
166,1907
167,1909
168,1922
169,1936
170,1952
171,1971
172,2001
173,2032
174,2085
175,2127
176,2165
177,2202
178,2238
179,2285
180,2328
181,2384
182,2435
183,2493
184,2559
185,2645
186,2735
187,2829
188,2930
189,3037
190,3159
191,3277
192,3397
193,3510
194,3632
195,3746
196,3852
197,3965
198,4004
199,4069
200,4063
201,4018
202,3949
203,3838
204,3703
205,3535
206,3344
207,3149
208,2934
209,2710
210,2491
211,2272
212,2062
213,1871
214,1697
215,1546
216,1402
217,1296
218,1222
219,1187
220,1185
221,1215
222,1268
223,1339
224,1427
225,1515
226,1601
227,1674
228,1732
229,1784
230,1826
231,1856
232,1872
233,1872
234,1879
235,1889
236,1898
237,1903
238,1909
239,1919
240,1934
241,1943
242,1958
243,1967
244,1968
245,1968
246,1967
247,1959
248,1957
249,1943
250,1936
251,1930
252,1924
253,1925
254,1936
255,1938
256,1980
257,1969
258,1963
259,1952
260,1939
261,1933
262,1922
263,1919
264,1926
265,1933
266,1942
267,1947
268,1955
269,1958
270,1968
271,1968
272,1973
273,1968
274,1961
275,1947
276,1936
277,1925
278,1915
279,1903
280,1899
281,1903
282,1913
283,1929
284,1939
285,1949
286,1968
287,1977
288,1985
289,1981
290,1973
291,1964
292,1953
293,1936
294,1930
295,1909
296,1906
297,1897
298,1897
299,1902
300,1903
301,1913
302,1924
303,1939
304,1953
305,1966
306,1959
307,1955
308,1950
309,1943
310,1933
311,1923
312,1904
313,1896
314,1897
315,1904
316,1909
317,1916
318,1929
319,1940
320,1963
321,1973
322,1983
323,1981
324,1967
325,1957
326,1951
327,1939
328,1931
329,1915
330,1917
331,1918
332,1920
333,1936
334,1941
335,1955
336,1973
337,1999
338,2009
339,2019
340,2022
341,2017
342,2007
343,1995
344,1978
345,1955
346,1939
347,1932
348,1938
349,1948
350,1962
351,1975
352,1997
353,2014
354,2031
355,2044
356,2055
357,2054
358,2045
359,2033
360,2030
361,2012
362,2000
363,1991
364,1990
365,1993
366,1997
367,2005
368,2019
369,2038
370,2063
371,2079
372,2085
373,2085
374,2077
375,2067
376,2063
377,2055
378,2039
379,2032
380,2032
381,2046
382,2064
383,2075
384,2092
385,2094
386,2112
387,2128
388,2142
389,2139
390,2139
391,2135
392,2123
393,2111
394,2096
395,2071
396,2057
397,2041
398,2041
399,2047
400,2064
401,2076
402,2096
403,2123
404,2149
405,2166
406,2183
407,2189
408,2190
409,2186
410,2179
411,2160
412,2143
413,2125
414,2115
415,2109
416,2121
417,2124
418,2128
419,2139
420,2152
421,2165
422,2176
423,2181
424,2187
425,2179
426,2170
427,2159
428,2136
429,2119
430,2102
431,2098
432,2107
433,2114
434,2129
435,2145
436,2163
437,2177
438,2192
439,2192
440,2188
441,2174
442,2161
443,2146
444,2128
445,2112
446,2096
447,2083
448,2075
449,2081
450,2091
451,2101
452,2123
453,2135
454,2151
455,2159
456,2158
457,2139
458,2119
459,2095
460,2062
461,2032
462,2002
463,1986
464,1984
465,1991
466,2000
467,2015
468,2026
469,2033
470,2046
471,2047
472,2031
473,2015
474,1991
475,1967
476,1947
477,1924
478,1894
479,1871
480,1851
481,1838
482,1839
483,1838
