,mV
0,
1,1858
2,1843
3,1833
4,1823
5,1817
6,1815
7,1822
8,1827
9,1838
10,1840
11,1869
12,1881
13,1887
14,1888
15,1883
16,1881
17,1873
18,1865
19,1851
20,1840
21,1831
22,1830
23,1950
24,1936
25,1931
26,
27,
28,1925
29,1923
30,1921
31,1918
32,1916
33,1905
34,1899
35,1891
36,1879
37,1872
38,1866
39,1852
40,1840
41,1840
42,1837
43,1840
44,1839
45,1842
46,1846
47,1851
48,1856
49,1853
50,1840
51,1827
52,1819
53,1809
54,1804
55,1797
56,1787
57,1780
58,1781
59,1787
60,1793
61,1801
62,1809
63,1821
64,1829
65,1840
66,1836
67,1827
68,1825
69,1822
70,1809
71,1808
72,1802
73,1794
74,1793
75,1801
76,1808
77,1808
78,1825
79,1839
80,1849
81,1858
82,1868
83,1870
84,1869
85,1863
86,1855
87,1843
88,1828
89,1811
90,1797
91,1789
92,1788
93,1791
94,1801
95,1814
96,1834
97,1849
98,1872
99,1885
100,1891
101,1895
102,1895
103,1888
104,1879
105,1871
106,1853
107,1840
108,1833
109,1831
110,1840
111,1844
112,1855
113,1872
114,1886
115,1901
116,1905
117,1904
118,1902
119,1896
120,1885
121,1872
122,1861
123,1849
124,1843
125,1984
126,2017
127,2062
128,2113
129,2176
130,2245
131,2320
132,2401
133,2480
134,
135,2567
136,2655
137,2746
138,2839
139,2934
140,3031
141,3136
142,3242
143,3345
144,3460
145,3578
146,3707
147,3839
148,3957
149,4095
150,4095
151,4095
152,4016
153,3904
154,3695
155,3479
156,3262
157,3024
158,2783
159,2541
160,2319
161,2102
162,1905
163,1740
164,1587
165,1460
166,1365
167,1297
168,1250
169,1229
170,1234
171,1264
172,1306
173,1364
174,1424
175,1495
176,1581
177,1651
178,1723
179,1779
180,1835
181,1874
182,1914
183,1945
184,1959
185,1968
186,1971
187,1969
188,1971
189,1968
190,1963
191,1949
192,1939
193,1936
194,1936
195,
196,1933
197,1933
198,1934
199,1936
200,1943
201,1945
202,1941
203,1936
204,1931
205,1915
206,1905
207,1900
208,1882
209,1871
210,1866
211,1863
212,1862
213,1872
214,1876
215,1888
216,1901
217,1911
218,1919
219,1918
220,1915
221,1911
222,1907
223,1901
224,1895
225,1882
226,1872
227,1872
228,1875
229,1887
230,1890
231,1902
232,1905
233,1922
234,1936
235,1938
236,1938
237,1938
238,1936
239,1930
240,1921
241,1911
242,1904
243,1898
244,1899
245,1904
246,1907
247,1917
248,1924
249,1933
250,1941
251,1946
252,1946
253,1942
254,1937
255,1930
256,1923
257,
258,1920
259,1907
260,1903
261,1899
262,1901
263,1904
264,1905
265,1915
266,1927
267,1947
268,1961
269,1969
270,1974
271,1975
272,1983
273,1981
274,1978
275,1969
276,1958
277,1947
278,1941
279,1941
280,1943
281,1943
282,1951
283,1953
284,1963
285,1968
286,1965
287,1963
288,1959
289,1959
290,1954
291,1950
292,1942
293,1935
294,1935
295,1937
296,1943
297,1954
298,1967
299,1979
300,1993
301,2011
302,2023
303,2031
304,2029
305,2028
306,2025
307,2022
308,2015
309,2006
310,1998
311,1993
312,1995
313,1998
314,2001
315,2006
316,2017
317,2027
318,2038
319,2045
320,2047
321,2043
322,2042
323,2039
324,2039
325,2037
326,2030
327,2017
328,2023
329,2029
330,2033
331,2036
332,2043
333,2058
334,2065
335,2084
336,2096
337,2117
338,2127
339,2131
340,2128
341,2126
342,2118
343,2107
344,2096
345,2079
346,2064
347,2059
348,2054
349,2053
350,2054
351,2059
352,2064
353,2067
354,2077
355,2077
356,2070
357,2065
358,2063
359,2057
360,2044
361,2038
