,mV
0,
1,1776
2,1808
3,1843
4,1873
5,1899
6,1919
7,1931
8,1936
9,1922
10,1899
11,1861
12,1837
13,1804
14,1779
15,1758
16,1747
17,1744
18,1759
19,1776
20,1802
21,1820
22,1837
23,1849
24,1858
25,1871
26,1871
27,1866
28,1862
29,1856
30,1847
31,1844
32,1840
33,1844
34,1855
35,1869
36,1885
37,1901
38,1909
39,1914
40,1919
41,1920
42,1918
43,1911
44,1908
45,1915
46,1926
47,1942
48,1963
49,1987
50,2018
51,2061
52,2103
53,2155
54,2203
55,2256
56,2306
57,2359
58,2415
59,2463
60,2512
61,2547
62,2592
63,2619
64,2635
65,2641
66,2635
67,2621
68,2597
69,2569
70,2524
71,2474
72,2416
73,2342
74,2261
75,2171
76,2073
77,1968
78,1876
79,1792
80,1718
81,1667
82,1627
83,1609
84,1602
85,1610
86,1622
87,1645
88,1665
89,1682
90,1698
91,1712
92,1715
93,1713
94,1712
95,1707
96,1701
97,1706
98,1711
99,1713
100,1735
101,1756
102,1780
103,1808
104,1831
105,1856
106,1875
107,1894
108,1904
109,1905
110,1904
111,1890
112,1876
113,1872
114,1871
115,1877
116,1886
117,1903
118,1919
119,1934
120,1949
121,1957
122,1968
123,1977
124,1975
125,1974
126,1965
127,1946
128,1930
129,1911
130,1899
131,1885
132,1873
133,1872
134,1875
135,1893
136,1915
137,1938
138,1957
139,1970
140,1978
141,1975
142,1965
143,1948
144,1926
145,1904
146,1885
147,1869
148,1853
149,1840
150,1837
151,1838
152,1851
153,1869
154,1886
155,1905
156,1918
157,1926
158,1929
159,1931
160,1929
161,1922
162,1920
163,1920
164,1923
165,1936
166,1950
167,1963
168,1988
169,2005
170,2019
171,2021
172,2017
173,2005
174,1989
175,1970
176,1948
177,1927
178,1905
179,1897
180,1898
181,1899
182,1905
183,1917
184,1934
185,1953
186,1970
187,1985
188,2000
189,2003
190,2011
191,2006
192,2001
193,1991
194,1971
195,1954
196,1937
197,1933
198,1927
199,1928
200,1936
201,1949
202,1968
203,1984
204,2000
205,2009
206,2000
207,1998
208,1983
209,1965
210,1945
211,1931
212,1917
213,1907
214,1906
215,1920
216,1935
217,1956
218,1984
219,2009
220,2033
221,2057
222,2075
223,2082
224,2079
225,2071
226,2055
227,2029
228,2003
229,1986
230,1972
231,1962
232,1958
233,1962
234,1967
235,1973
236,1975
237,1985
238,1997
239,2007
240,2023
241,2027
242,2028
243,2027
244,2021
245,2018
246,2013
247,2015
248,2017
249,2023
250,2031
251,2043
252,2063
253,2071
254,2075
255,2071
256,2067
257,2065
258,2061
259,2042
260,2038
261,2031
262,2029
263,2027
264,2032
265,2042
266,2062
267,2074
268,2106
269,2135
270,2174
271,2194
272,2221
273,2227
274,2227
275,2226
276,2208
277,2187
278,2159
279,2138
280,2117
281,2100
282,2096
283,2102
284,2121
285,2151
286,2179
287,2203
288,2225
289,2243
290,2256
291,2256
292,2255
293,2243
294,2225
295,2215
296,2199
297,2187
298,2175
299,2161
300,2160
301,2167
302,2182
303,2195
304,2203
305,2208
306,2206
307,2197
308,2188
309,2175
310,2160
311,2146
312,2131
313,2125
314,2126
315,2130
316,2141
317,2160
318,2181
319,2210
320,2234
321,2254
322,2269
323,2277
324,2283
325,2280
326,2259
327,2240
328,2215
329,2185
330,2160
331,2135
332,2122
333,2113
334,2117
335,2131
336,2145
337,2160
338,2174
339,2187
340,2192
341,2191
342,2178
343,2157
344,2127
345,2094
346,2057
347,2017
348,2000
349,1986
350,1985
351,1986
352,1994
353,2001
354,2008
355,2013
356,2007
357,2002
358,1998
359,1984
360,1963
361,1938
362,1919
363,1899
364,1893
365,1887
366,1897
367,1903
368,1922
369,1946
370,1977
371,2000
372,2017
373,2026
374,2027
375,2014
376,1993
377,1959
378,1923
379,1887
380,1860
381,1837
382,1817
383,1807
384,1805
385,1813
386,1826
387,1841
388,1855
389,1853
390,1850
391,1840
392,1834
393,1817
394,1806
395,1798
396,1792
397,1789
398,1792
399,1795
400,1807
401,1823
402,1841
403,1861
404,1882
405,1900
406,1909
407,1918
408,1921
409,1914
410,1895
411,1872
412,1856
413,1845
414,1840
415,1840
416,1840
417,1845
418,1860
419,1876
420,1892
421,1905
422,1909
423,1905
424,1893
425,1873
426,1845
427,1813
428,1781
429,1754
430,1733
431,1721
432,1712
433,1712
434,1721
435,1744
436,1763
437,1781
438,1798
439,1813
440,1831
441,1840
442,1851
443,1855
444,1856
445,1859
446,1869
447,1872
448,1878
449,1887
450,1895
451,1903
452,1914
453,1930
454,1938
455,1947
456,1943
457,1938
458,1927
459,1906
460,1881
461,1853
462,1824
463,1799
464,1786
465,1776
466,1769
467,1776
468,1791
469,1809
470,1840
471,1857
472,1872
473,1882
474,1881
475,1876
476,1861
477,1839
478,1816
479,1797
480,1787
481,1774
482,1768
483,1770
484,1781
485,1808
486,1833
487,1854
488,1871
489,1877
490,1877
491,1873
492,1861
493,1844
494,1831
495,1818
496,1808
497,1805
498,1806
499,1808
500,1821
501,1831
502,1847
503,1862
504,1869
505,1873
506,1872
507,1869
508,1858
509,1845
510,1833
511,1815
512,1808
513,1807
514,1809
515,1821
516,1838
517,1867
518,1899
519,1931
520,1957
521,1968
522,1977
523,1977
524,1967
525,1956
526,1933
527,1903
528,1867
529,1841
530,1817
531,1803
532,1795
533,1794
534,1807
535,1833
536,1858
537,1879
538,1904
539,1921
540,1927
541,1926
542,1913
543,1885
544,1857
545,1835
546,1811
547,1807
548,1808
549,1824
550,1841
551,1871
552,1906
553,1936
554,1963
555,1981
556,1989
557,1994
558,1995
559,1985
560,1973
561,1957
562,1937
563,1922
564,1907
565,1906
566,1903
567,1903
568,1907
569,1917
570,1931
571,1935
572,1938
573,1947
574,1947
575,1941
576,1925
577,1904
578,1887
579,1872
580,1865
581,1855
582,1853
583,1849
584,1855
585,1874
586,1899
587,1919
588,1939
589,1956
590,1965
591,1959
592,1948
593,1927
594,1904
595,1882
596,1863
597,1840
598,1822
599,1812
600,1817
601,1825
602,1840
603,1859
604,1870
605,1878
606,1877
607,1879
608,1872
609,1861
610,1847
611,1840
612,1837
613,1841
614,1856
615,1887
