,mV
0,
1,1996
2,1978
3,1968
4,1958
5,1953
6,1952
7,1957
8,1968
9,1989
10,2013
11,2031
12,2035
13,2033
14,2032
15,2026
16,2017
17,2001
18,1983
19,1968
20,1965
21,1968
22,1973
23,1986
24,2000
25,2014
26,2032
27,2047
28,2047
29,2046
30,2037
31,2027
32,2014
33,1996
34,1971
35,1940
36,1919
37,1899
38,1898
39,1903
40,1911
41,1924
42,1936
43,1968
44,1977
45,1975
46,1973
47,1968
48,1956
49,1946
50,1929
51,1907
52,1884
53,1866
54,1856
55,1855
56,1856
57,1869
58,1883
59,1903
60,1923
61,1936
62,1939
63,1933
64,1923
65,1905
66,1883
67,1862
68,1835
69,1811
70,1801
71,1798
72,1802
73,1808
74,1825
75,1840
76,1867
77,1889
78,1900
79,1906
80,1904
81,1901
82,1894
83,1884
84,1870
85,1845
86,1834
87,1824
88,1818
89,1831
90,1840
91,1857
92,1872
93,1895
94,1908
95,1914
96,1911
97,1905
98,1895
99,1893
100,1877
101,1856
102,1841
103,1835
104,1831
105,1831
106,1840
107,1852
108,1862
109,1877
110,1894
111,1899
112,1890
113,1881
114,1872
115,1863
116,1841
117,1817
118,1796
119,1778
120,1776
121,1779
122,1792
123,1813
124,1838
125,1859
126,1895
127,1927
128,1946
129,1958
130,1965
131,1967
132,1964
133,1951
134,1932
135,1907
136,1895
137,1885
138,1886
139,1885
140,1889
141,1898
142,1905
143,1926
144,1938
145,1942
146,1938
147,1936
148,1927
149,1917
150,1901
151,1884
152,1858
153,1841
154,1833
155,1839
156,1843
157,1856
158,1873
159,1898
160,1925
161,1942
162,1953
163,1957
164,1967
165,1967
166,1968
167,1968
168,1957
169,1965
170,1969
171,1994
172,2032
173,2082
174,2147
175,2839
176,2701
177,2577
178,2469
179,2386
180,2334
181,2281
182,2240
183,2215
184,2203
185,2207
186,2213
187,2225
188,2236
189,2251
190,2270
191,2301
192,2329
193,2355
194,2384
195,2401
196,2429
197,2445
198,2442
199,2430
200,2416
201,2400
202,2379
203,2359
204,2341
205,2320
206,2301
207,2288
208,2287
209,2285
210,2290
211,2299
212,2311
213,2333
214,2348
215,2342
216,2331
217,2315
218,2288
219,2270
220,2245
221,2211
222,2183
223,2162
224,2159
225,2158
226,2160
227,2166
228,2176
229,2191
230,2206
231,2210
232,2202
233,2193
234,2185
235,2163
236,2143
237,2122
238,2096
239,2067
240,2039
241,2023
242,2007
243,2001
244,1998
245,2000
246,2015
247,2031
248,2034
249,2033
250,2032
251,2023
252,2007
253,1990
254,1968
255,1935
256,1909
257,1895
258,1890
259,1888
260,1894
261,1902
262,1909
263,1920
264,1933
265,1932
266,1928
267,1926
268,1920
269,1914
270,1904
271,1889
272,1872
273,1861
274,1856
275,1853
276,1850
277,1855
278,1862
279,1874
280,1898
281,1909
282,1910
283,1906
284,1901
285,1885
286,1870
287,1848
288,1822
289,1798
290,1787
291,1789
292,1792
293,1807
294,1821
295,1840
296,1871
297,1886
298,1894
299,1890
300,1879
301,1871
302,1855
303,1842
304,1821
305,1803
306,1789
307,1785
308,1792
309,1801
310,1822
311,1837
312,1855
313,1891
314,1904
315,1915
316,1918
317,1911
318,1902
319,1877
320,1857
321,1835
322,1811
323,1800
324,1795
325,1794
326,1806
327,1819
328,1839
329,1858
330,1885
331,1905
332,1911
333,1913
334,1914
335,1909
336,1904
337,1893
338,1878
339,1866
340,1858
341,1851
342,1859
343,1868
344,1871
345,1882
346,1907
347,1931
348,1942
349,1947
350,1946
351,1944
352,1937
353,1930
354,1908
355,1887
356,1871
357,1861
358,1858
359,1866
360,1871
361,1889
362,1909
363,1938
364,1963
365,1969
366,1975
367,1979
368,1975
369,1968
370,1959
371,1939
372,1920
373,1909
374,1907
375,1906
376,1914
377,1921
378,1927
379,1937
380,1957
381,1967
382,1965
383,1960
384,1955
385,1952
386,1942
387,1926
388,1917
389,1895
390,1887
391,1887
392,1893
393,1909
394,1923
395,1941
396,1970
397,1991
398,2009
399,2003
400,2000
401,1998
402,1986
403,1971
404,1947
405,1919
406,1895
407,1875
408,1872
409,1865
410,1869
411,1872
412,1881
413,1904
414,1909
415,1917
416,1922
417,1920
418,1915
419,1903
420,1893
421,1872
422,1844
423,1829
424,1818
425,1811
426,1810
427,1813
428,1821
429,1823
430,1837
431,1836
432,1830
433,1822
434,1808
435,1793
436,1776
437,1759
438,1729
439,1707
440,1689
441,1680
442,1680
443,1681
444,1691
445,1707
446,1728
447,1744
448,1747
449,1748
450,1743
451,1734
452,1718
453,1703
454,1680
455,1658
456,1635
457,1621
458,1621
459,1616
460,1617
461,1627
462,1641
463,1669
464,1680
465,1693
466,1695
467,1692
468,1686
469,1664
470,1651
471,1628
472,1601
473,1584
474,1578
475,1575
476,1584
477,1594
478,1606
479,1625
480,1649
481,1666
482,1666
483,1662
484,1649
485,1623
486,1607
487,1589
488,1566
489,1547
490,1533
491,1535
492,1550
493,1559
494,1577
495,1600
496,1623
497,1648
498,1651
499,1655
500,1650
501,1656
502,1637
503,1626
504,1611
505,1595
506,1584
507,1587
508,1591
509,1603
510,1616
511,1631
512,1648
513,1663
514,1680
515,1680
516,1675
517,1667
518,1661
519,1651
520,1644
521,1623
522,1609
523,1607
524,1601
525,1603
526,1616
527,1631
528,1650
529,1680
530,1706
531,1722
532,1728
533,1733
534,1734
535,1727
536,1718
537,1699
538,1680
539,1664
540,1648
541,1648
542,1648
543,1651
544,1664
545,1676
546,1698
547,1715
548,1724
549,1723
550,1713
551,1709
552,1701
553,1694
554,1680
555,1658
556,1647
557,1639
558,1647
559,1651
560,1663
561,1680
562,1706
563,1737
564,1755
565,1769
566,1773
567,1771
568,1770
569,1765
570,1750
571,1737
572,1712
573,1699
574,1685
575,1685
576,1682
577,1687
578,1700
579,1713
580,1738
581,1751
582,1760
583,1766
584,1762
585,1763
586,1756
587,1745
588,1727
589,1712
590,1699
591,1696
592,1696
593,1702
594,1713
595,1723
596,1742
597,1759
598,1766
599,1773
600,1769
601,1755
602,1747
603,1733
604,1714
605,1690
606,1676
607,1666
608,1672
609,1681
610,1703
611,1725
612,1748
