,mV
0,
1,4095
2,4038
3,3916
4,3781
5,3664
6,3543
7,3474
8,3425
9,3409
10,3417
11,3440
12,3470
13,3489
14,3535
15,3606
16,3650
17,3666
18,3653
19,3601
20,3551
21,3480
22,3411
23,3332
24,3270
25,3237
26,3222
27,3227
28,3239
29,3247
30,3251
31,3265
32,3284
33,3284
34,3248
35,3198
36,3135
37,3069
38,3022
39,2977
40,2929
41,2913
42,2928
43,2976
44,3027
45,3084
46,3121
47,3152
48,3185
49,3201
50,3191
51,3152
52,3100
53,3030
54,2960
55,2890
56,2814
57,2746
58,2704
59,2693
60,2697
61,2710
62,2734
63,2759
64,2794
65,2832
66,2855
67,2850
68,2819
69,2762
70,2705
71,2655
72,2607
73,2543
74,2497
75,2481
76,2487
77,2517
78,2559
79,2608
80,2640
81,2673
82,2693
83,2690
84,2665
85,2625
86,2582
87,2537
88,2495
89,2438
90,2381
91,2343
92,2335
93,2343
94,2368
95,2408
96,2446
97,2477
98,2515
99,2539
100,2543
101,2517
102,2477
103,2421
104,2368
105,2304
106,2231
107,2165
108,2137
109,2129
110,2159
111,2199
112,2247
113,2289
114,2347
115,2397
116,2431
117,2435
118,2413
119,2369
120,2326
121,2286
122,2236
123,2181
124,2143
125,2133
126,2153
127,2182
128,2223
129,2262
130,2295
131,2329
132,2359
133,2370
134,2359
135,2318
136,2262
137,2197
138,2131
139,2065
140,1993
141,1949
142,1935
143,1942
144,1968
145,2016
146,2074
147,2129
148,2181
149,2224
150,2235
151,2221
152,2178
153,2131
154,2080
155,2019
156,1963
157,1919
158,1898
159,1903
160,1921
161,1957
162,1998
163,2043
164,2095
165,2147
166,2186
167,2197
168,2182
169,2137
170,2081
171,2009
172,1942
173,1861
174,1808
175,1777
176,1776
177,1667
178,1655
179,1670
180,1715
181,1771
182,1831
183,1872
184,1906
185,1943
186,1969
187,1977
188,1957
189,1922
190,1881
191,1840
192,1795
193,1741
194,1694
195,1685
196,1697
197,1721
198,1775
199,1805
200,1843
201,1886
202,1924
203,1945
204,1936
205,1909
206,1877
207,1839
208,1794
209,1735
210,1680
211,1645
212,1639
213,1662
214,1694
215,1739
216,1779
217,1824
218,1879
219,1919
220,1938
221,1933
222,1910
223,1873
224,1839
225,1797
226,1739
227,1690
228,1674
229,1670
230,1706
231,1740
232,1774
233,1808
234,1841
235,1879
236,1893
237,1894
238,1877
239,1849
240,1810
241,1776
242,1719
243,1666
244,1628
245,1616
246,1622
247,1653
248,1706
249,1755
250,1815
251,1875
252,1934
253,1961
254,1954
255,1924
256,1879
257,1835
258,1789
259,1728
260,1673
261,1632
262,1632
263,1653
264,1694
265,1744
266,1788
267,1839
268,1885
269,1909
270,1904
271,1873
272,1830
273,1777
274,1719
275,1677
276,1631
277,1603
278,1613
279,1641
280,1687
281,1731
282,1777
283,1808
284,1842
285,1872
286,1891
287,1872
288,1830
289,1776
290,1718
291,1679
292,1634
293,1585
294,1562
295,1562
296,1590
297,1631
298,1681
299,1731
300,1776
301,1829
302,1874
303,1903
304,1904
305,1881
306,1846
307,1799
308,1761
309,1705
310,1647
311,1616
312,1625
313,1669
314,1718
315,1763
316,1804
317,1829
318,1867
319,1889
320,1882
321,1846
322,1799
323,1744
324,1687
325,1631
326,1572
327,1520
328,1505
329,1532
330,1585
331,1663
332,1729
333,1807
334,1862
335,1909
336,1931
337,1918
338,1875
339,1820
340,1755
341,1704
342,1649
343,1607
344,1581
345,1594
346,1633
347,1680
348,1733
349,1776
350,1808
351,1847
352,1874
353,1890
354,1872
355,1834
356,1786
357,1730
358,1665
359,1595
360,1522
361,1493
362,1493
363,1522
364,1584
365,1648
366,1709
367,1761
368,1828
369,1867
370,1876
371,1858
372,1810
373,1759
374,1711
375,1664
376,1615
377,1575
378,1565
379,1585
380,1626
381,1672
382,1713
383,1755
384,1786
385,1814
386,1827
387,1806
388,1769
389,1701
390,1634
391,1584
392,1535
393,1504
394,1491
395,1520
396,1569
397,1630
398,1693
399,1751
400,1805
401,1862
402,1903
403,1934
404,1921
405,1894
406,1849
407,1802
408,1755
409,1695
410,1627
411,1593
412,1567
413,1569
414,1584
415,1609
416,1642
417,1680
418,1743
419,1779
420,1805
421,1808
422,1791
423,1778
424,1767
425,1749
426,1722
427,1680
428,1677
429,1674
430,1695
431,1728
432,1761
433,1793
434,1825
435,1867
436,1897
437,1905
438,1886
439,1861
440,1840
441,1813
442,1784
443,1753
444,1723
445,1719
446,1733
447,1759
448,1788
449,1808
450,1836
451,1870
452,1902
453,1910
454,1898
455,1859
456,1814
457,1776
458,1738
459,1692
460,1649
461,1638
462,1646
463,1695
464,1740
465,1786
466,1825
467,1862
468,1899
469,1924
470,1924
471,1903
472,1847
473,1802
474,1745
475,1707
476,1654
477,1600
478,1585
479,1591
480,1625
481,1664
482,1706
483,1739
484,1772
485,1810
486,1827
487,1822
488,1791
489,1749
490,1707
491,1663
492,1624
493,1580
494,1543
495,1527
496,1535
497,1573
498,1615
499,1648
500,1683
501,1728
502,1767
503,1787
504,1781
505,1747
506,1697
507,1631
508,1574
509,1500
510,1440
511,1419
512,1431
513,1482
514,1553
515,1616
516,1691
517,1765
518,1837
519,1885
520,1914
521,1901
522,1872
523,1818
524,1765
525,1705
526,1639
527,1583
528,1555
529,1557
530,1578
531,1609
532,1643
533,1673
534,1699
535,1742
536,1765
537,1770
538,1759
539,1729
540,1705
541,1675
542,1634
543,1583
544,1532
545,1518
546,1523
547,1565
548,1604
549,1651
550,1681
551,1714
552,1751
553,1774
554,1773
555,1749
556,1724
557,1694
558,1670
559,1639
560,1610
561,1603
562,1623
563,1653
564,1703
565,1745
566,1787
567,1814
568,1860
569,1882
570,1889
571,1872
572,1840
573,1792
574,1737
575,1677
576,1611
577,1558
578,1526
579,1535
580,1574
581,1617
582,1669
583,1723
584,1783
585,1844
586,1889
587,1905
588,1889
589,1853
590,1806
591,1754
592,1705
593,1654
594,1622
595,1627
596,1651
597,1697
598,1739
599,1775
600,1808
601,1843
602,1886
603,1907
604,1906
605,1897
606,1878
607,1857
608,1844
609,1827
610,1812
611,1825
612,1856
613,1911
614,1985
615,2069
616,2161
617,2262
618,2381
619,2481
620,2569
621,2621
622,2649
623,2663
624,2682
625,2706
626,2736
627,2790
628,2877
629,2996
630,3147
631,3291
632,3434
633,3558
634,3677
635,3758
636,3760
637,3661
638,3521
639,3312
640,3088
641,2850
642,2606
643,2345
644,2109
645,1911
646,1753
647,1640
648,1552
649,1488
650,1444
651,1429
652,1434
653,1442
654,1441
655,1439
656,1429
657,1424
658,1425
659,1429
660,1431
661,1453
662,1499
663,1554
664,1610
665,1654
666,1696
667,1738
668,1776
669,1808
670,1827
671,1824
672,1810
673,1786
674,1754
675,1715
676,1664
677,1623
678,1600
679,1598
680,1619
681,1659
682,1698
683,1737
684,1783
685,1833
686,1861
687,1870
688,1851
689,1824
690,1803
691,1777
692,1758
693,1713
694,1689
695,1682
696,1696
697,1719
698,1747
699,1776
700,1797
701,1825
702,1843
703,1844
704,1826
705,1801
706,1763
707,1743
708,1719
709,1691
710,1663
711,1648
712,1653
713,1675
714,1700
715,1730
716,1756
717,1780
718,1819
719,1850
720,1861
721,1851
722,1828
723,1790
724,1753
725,1723
726,1686
727,1666
728,1669
729,1690
730,1731
731,1778
732,1815
733,1850
734,1886
735,1923
736,1936
737,1934
738,1899
739,1849
