,0
0,1910.6599154631913
1,1910.6599154631913
2,2112.0
3,2123.0
4,2165.0
5,2219.0
6,2283.0
7,2334.0
8,2384.0
9,2438.0
10,2468.0
11,2465.0
12,2432.0
13,2385.0
14,2330.0
15,2272.0
16,2221.0
17,2160.0
18,2126.0
19,2127.0
20,2154.0
21,2201.0
22,2267.0
23,2064.0
24,2031.0
25,1977.0
26,1923.0
27,1863.0
28,1805.0
29,1735.0
30,1686.0
31,1672.0
32,1689.0
33,1729.0
34,1774.0
35,1818.0
36,1865.0
37,1914.0
38,1966.0
39,1995.0
40,1999.0
41,1968.0
42,1931.0
43,1873.0
44,1813.0
45,1746.0
46,1681.0
47,1658.0
48,1664.0
49,1699.0
50,1743.0
51,1790.0
52,1831.0
53,1866.0
54,1904.0
55,1936.0
56,1946.0
57,1920.0
58,1868.0
59,1809.0
60,1760.0
61,1712.0
62,1653.0
63,1604.0
64,1587.0
65,1602.0
66,1635.0
67,1679.0
68,1728.0
69,1773.0
70,1812.0
71,1856.0
72,1886.0
73,1889.0
74,1719.0
75,1775.0
76,1823.0
77,1851.0
78,1852.0
79,1808.0
80,1744.0
81,1677.0
82,1614.0
83,1543.0
84,1472.0
85,1443.0
86,1451.0
87,1489.0
88,1559.0
89,1621.0
90,1689.0
91,1755.0
92,1819.0
93,1879.0
94,1891.0
95,1875.0
96,1834.0
97,1771.0
98,1705.0
99,1644.0
100,1572.0
101,1514.0
102,1488.0
103,1495.0
104,1531.0
105,1589.0
106,1643.0
107,1701.0
108,1763.0
109,1824.0
110,1862.0
111,1872.0
112,1849.0
113,1795.0
114,1742.0
115,1679.0
116,1617.0
117,1553.0
118,1518.0
119,1508.0
120,1532.0
121,1582.0
122,1637.0
123,1699.0
124,1757.0
125,1811.0
126,1871.0
127,1901.0
128,1903.0
129,1869.0
130,1815.0
131,1765.0
132,1710.0
133,1651.0
134,1591.0
135,1561.0
136,1559.0
137,1584.0
138,1629.0
139,1668.0
140,1713.0
141,1755.0
142,1795.0
143,1835.0
144,1841.0
145,1831.0
146,1793.0
147,1749.0
148,1712.0
149,1670.0
150,1616.0
151,1577.0
152,1564.0
153,1584.0
154,1621.0
155,1677.0
156,1729.0
157,1779.0
158,1824.0
159,1872.0
160,1895.0
161,1889.0
162,1862.0
163,1809.0
164,1747.0
165,1680.0
166,1607.0
